,symbol,gpa,remarks
0,00100001E,2.55,COMPLETED
1,00100002F,3.05,COMPLETED
2,00100003G,2.7,COMPLETED
3,00100004H,2.65,COMPLETED
4,00100005I,2.55,COMPLETED
5,00100006J,2.75,COMPLETED
6,00100007K,2.55,COMPLETED
7,00100008L,2.55,COMPLETED
8,00100009M,2.55,COMPLETED
9,00100010N,2.55,COMPLETED
10,00100011O,3.15,COMPLETED
11,00100012P,2.55,COMPLETED
12,00100013Q,2.55,COMPLETED
13,00100014R,2.6,COMPLETED
14,00100015S,3.15,COMPLETED
15,00100016T,2.45,COMPLETED
16,00100017U,2.6,COMPLETED
17,00100018V,2.6,COMPLETED
18,00100019W,2.55,COMPLETED
19,00100020X,2.9,COMPLETED
20,00100021Y,3.25,COMPLETED
21,00100022Z,2.65,COMPLETED
22,00100023A,2.7,COMPLETED
23,00100024B,2.5,COMPLETED
24,00100025C,2.65,COMPLETED
25,00100026D,2.75,COMPLETED
26,00100027E,2.6,COMPLETED
27,00100028F,2.65,COMPLETED
28,00100029G,2.6,COMPLETED
29,00100030H,2.55,COMPLETED
30,00100031I,2.5,COMPLETED
31,00100032J,3.2,COMPLETED
32,00100033K,3.25,COMPLETED
33,00100034L,3.25,COMPLETED
34,00100035M,3.0,COMPLETED
35,00100036N,2.8,COMPLETED
36,00100037O,2.8,COMPLETED
37,00100038P,2.95,COMPLETED
38,00100039Q,3.05,COMPLETED
39,00100040R,3.1,COMPLETED
40,00100041S,2.65,COMPLETED
41,00100042T,3.25,COMPLETED
42,00100043U,2.5,COMPLETED
43,00100044V,2.7,COMPLETED
44,00100045W,2.65,COMPLETED
45,00100046X,2.8,COMPLETED
46,00100047Y,2.8,COMPLETED
47,00100048Z,2.6,COMPLETED
48,00100049A,2.6,COMPLETED
49,00100050B,2.75,COMPLETED
50,00100051C,3.25,COMPLETED
51,00100052D,2.75,COMPLETED
52,00100053E,2.4,COMPLETED
53,00100054F,2.4,COMPLETED
54,00100055G,2.6,COMPLETED
55,00100056H,2.6,COMPLETED
56,00100057I,2.8,COMPLETED
57,00100058J,2.65,COMPLETED
58,00100059K,2.75,COMPLETED
59,00100060L,2.7,COMPLETED
60,00100061M,2.45,COMPLETED
61,00100062N,2.5,COMPLETED
62,00100063O,2.75,COMPLETED
63,00100064P,2.75,COMPLETED
64,00100065Q,3.6,COMPLETED
65,00100066R,2.85,COMPLETED
66,00100067S,3.15,COMPLETED
67,00100068T,2.6,COMPLETED
68,00100069U,2.95,COMPLETED
69,00100070V,3.05,COMPLETED
70,00100071W,2.6,COMPLETED
71,00100072X,2.75,COMPLETED
72,00100073Y,3.1,COMPLETED
73,00100074Z,2.85,COMPLETED
74,00100075A,2.85,COMPLETED
75,00100076B,2.7,COMPLETED
76,00100077C,2.85,COMPLETED
77,00100078D,3.5,COMPLETED
78,00100079E,3.3,COMPLETED
79,00100080F,3.35,COMPLETED
80,00100081G,2.8,COMPLETED
81,00100082H,2.5,COMPLETED
82,00100083I,2.7,COMPLETED
83,00100084J,2.55,COMPLETED
84,00100085K,2.65,COMPLETED
85,00100086L,2.9,COMPLETED
86,00100087M,3.3,COMPLETED
87,00100088N,2.6,COMPLETED
88,00100089O,2.5,COMPLETED
89,00100090P,2.7,COMPLETED
90,00100091Q,2.85,COMPLETED
91,00100092R,2.45,COMPLETED
92,00100093S,2.75,COMPLETED
93,00100094T,2.5,COMPLETED
94,00100095U,2.65,COMPLETED
95,00100096V,2.8,COMPLETED
